재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명		당기			전기	전전기	
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-12-31	사업보고서	KRW	ifrs-full_Revenue	매출액		34,484,026,554,000			31,999,102,947,000	33,779,706,665,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-12-31	사업보고서	KRW	ifrs-full_CostOfSales	매출원가		24,787,913,920,000			23,391,528,118,000	24,634,400,467,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-12-31	사업보고서	KRW	ifrs-full_GrossProfit	매출총이익		9,696,112,634,000			8,607,574,829,000	9,145,306,198,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-12-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비		7,814,312,535,000			7,217,234,663,000	7,636,151,674,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	영업이익		1,881,800,099,000			1,390,340,166,000	1,509,154,524,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	금융수익		499,867,272,000			566,802,997,000	402,866,750,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	금융비용		976,810,779,000			1,335,813,027,000	1,090,448,593,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-12-31	사업보고서	KRW	entity00148540_udf_IS_202081110523392_IncomeStatementAbstract	공동기업 및 관계기업투자주식에 대한 지분법손익		86,575,271,000			84,032,128,000	54,678,317,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-12-31	사업보고서	KRW	dart_OtherGains	기타영업외수익		599,700,864,000			906,754,734,000	544,372,006,000
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-12-31	사업보고서	KRW	dart_OtherLosses	기타영업외비용		790,283,236,000			1,098,419,226,000	823,548,086,000
