재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 반기 3개월	당기 반기 누적	전기 반기 3개월	전기 반기 누적	전기	전전기
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-06-30	반기보고서	KRW	ifrs-full_Revenue	매출액	8,336,196,776,000	16,347,903,609,000	7,793,995,214,000	15,634,006,163,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-06-30	반기보고서	KRW	ifrs-full_CostOfSales	매출원가	5,903,915,152,000	11,617,398,823,000	5,682,034,278,000	11,451,453,454,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-06-30	반기보고서	KRW	ifrs-full_GrossProfit	매출총이익	2,432,281,624,000	4,730,504,786,000	2,111,960,936,000	4,182,552,709,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-06-30	반기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	1,864,811,216,000	3,715,540,169,000	1,753,210,102,000	3,559,537,595,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-06-30	반기보고서	KRW	dart_OperatingIncomeLoss	영업이익	567,470,408,000	1,014,964,617,000	358,750,834,000	623,015,114,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-06-30	반기보고서	KRW	ifrs-full_FinanceIncome	금융수익	60,538,227,000	200,648,246,000	60,720,467,000	259,880,387,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-06-30	반기보고서	KRW	ifrs-full_FinanceCosts	금융비용	160,826,539,000	465,771,784,000	191,446,588,000	594,003,884,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-06-30	반기보고서	KRW	entity00148540_udf_IS_202081110523392_IncomeStatementAbstract	공동기업 및 관계기업투자주식에 대한 지분법손익	17,230,487,000	36,718,406,000	21,709,078,000	34,789,525,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-06-30	반기보고서	KRW	dart_OtherGains	기타영업외수익	287,064,978,000	405,601,383,000	93,742,738,000	688,345,243,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-06-30	반기보고서	KRW	dart_OtherLosses	기타영업외비용	309,692,764,000	460,289,628,000	174,063,631,000	317,866,960,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-06-30	반기보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익	461,784,797,000	731,871,240,000	169,412,898,000	694,159,425,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-06-30	반기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	법인세비용	185,691,651,000	284,290,167,000	114,222,532,000	275,674,333,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-06-30	반기보고서	KRW	ifrs-full_ProfitLoss	당기순이익	276,093,146,000	447,581,073,000	55,190,366,000	418,485,092,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-06-30	반기보고서	KRW	ifrs-full_ProfitLossAttributableToAbstract	당기순이익의 귀속						
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-06-30	반기보고서	KRW	ifrs-full_ProfitLossAttributableToOwnersOfParent	   지배기업의소유주	93,133,954,000	145,360,024,000	27,465,437,000	179,841,014,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-06-30	반기보고서	KRW	ifrs-full_ProfitLossAttributableToNoncontrollingInterests	   비지배지분	182,959,192,000	302,221,049,000	27,724,929,000	238,644,078,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-06-30	반기보고서	KRW	ifrs-full_EarningsPerShareAbstract	주당이익 [abstract]						
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-06-30	반기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	   보통주주당순이익	2,776	4,333	818	5,362		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-06-30	반기보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	   보통주희석주당순이익	2,776	4,333	818	5,362		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-06-30	반기보고서	KRW	ifrs-full_Revenue	매출액	2,747,234,851,621	5,439,837,724,335	2,649,997,545,568	5,165,358,381,314		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-06-30	반기보고서	KRW	ifrs-full_CostOfSales	매출원가	2,471,785,773,520	4,941,131,334,053	2,382,225,753,034	4,675,921,530,814		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-06-30	반기보고서	KRW	ifrs-full_GrossProfit	매출총이익	275,449,078,101	498,706,390,282	267,771,792,534	489,436,850,500		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-06-30	반기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	184,869,790,296	360,007,296,778	183,911,687,416	347,388,408,529		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-06-30	반기보고서	KRW	dart_OperatingIncomeLoss	영업이익	90,579,287,805	138,699,093,504	83,860,105,118	142,048,441,971		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-06-30	반기보고서	KRW	ifrs-full_FinanceIncome	금융수익	4,259,410,884	26,604,904,974	6,021,587,959	34,209,011,769		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-06-30	반기보고서	KRW	ifrs-full_FinanceCosts	금융원가	28,978,257,198	75,873,950,308	32,736,025,217	87,602,304,431		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-06-30	반기보고서	KRW	dart_OtherGains	기타수익	191,803,157,037	198,294,473,421	28,091,560,041	32,647,740,398		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-06-30	반기보고서	KRW	dart_OtherLosses	기타비용	159,170,629,272	166,120,681,077	39,832,078,368	60,696,850,934		
