재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 3분기 3개월	당기 3분기 누적	전기 3분기 3개월	전기 3분기 누적	전기	전전기
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-09-30	3분기보고서	KRW	entity00148540_udf_IS_2021317164541718_IncomeStatementAbstract	영업수익	36,157,208,000	179,298,568,000	43,375,468,000	145,694,601,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-09-30	3분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	32,631,400,000	72,757,878,000	17,837,358,000	50,697,541,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-09-30	3분기보고서	KRW	dart_OperatingIncomeLoss	영업이익	3,525,808,000	106,540,690,000	25,538,110,000	94,997,060,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-09-30	3분기보고서	KRW	ifrs-full_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost	기타순손익	9,626,000	63,349,000	1,098,000	111,167,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-09-30	3분기보고서	KRW	ifrs-full_FinanceIncome	금융수익	466,122,000	1,314,922,000	380,285,000	1,236,187,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-09-30	3분기보고서	KRW	ifrs-full_FinanceCosts	금융비용	2,205,540,000	6,485,800,000	1,374,176,000	5,723,093,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-09-30	3분기보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익	1,796,016,000	101,433,161,000	24,545,317,000	90,621,321,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-09-30	3분기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	법인세비용	-892,714,000	2,589,269,000	2,468,428,000	6,395,753,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-09-30	3분기보고서	KRW	ifrs-full_ProfitLoss	당기순이익	2,688,730,000	98,843,892,000	22,076,889,000	84,225,568,000		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-09-30	3분기보고서	KRW	ifrs-full_EarningsPerShareAbstract	주당이익 [abstract]						
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-09-30	3분기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	   보통주주당순이익	79	2,945	657	2,509		
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-09-30	3분기보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	   보통주희석주당순이익	79	2,945	657	2,509		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2022-09-30	3분기보고서	KRW	ifrs-full_Revenue	매출액	2,092,866,363,335	6,111,732,406,677	1,975,427,486,881	5,604,009,504,283		
손익계산서, 기능별 분류 - 별도재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2022-09-30	3분기보고서	KRW	ifrs-full_CostOfSales	매출원가	1,890,409,523,245	5,520,174,765,238	1,766,517,904,827	5,064,955,662,396		
