재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명		당기			전기	전전기	
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-12-31	사업보고서	KRW	entity00148540_udf_IS_2021317164541718_IncomeStatementAbstract	영업수익		259,010,563,000			205,215,910,000	165,163,104,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-12-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비		141,407,081,000			92,776,929,000	75,141,496,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	영업이익		117,603,482,000			112,438,981,000	90,021,608,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-12-31	사업보고서	KRW	ifrs-full_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost	기타순손익		-68,529,000			-636,729,000	-20,421,085,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	금융수익		2,257,008,000			1,684,322,000	3,320,184,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	금융비용		8,730,129,000			7,570,209,000	6,342,583,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익		111,061,832,000			105,916,365,000	66,578,124,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	법인세비용		3,923,674,000			10,536,289,000	14,391,342,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	당기순이익		107,138,158,000			95,380,076,000	52,186,782,000
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-12-31	사업보고서	KRW	ifrs-full_EarningsPerShareAbstract	주당이익 [abstract]						
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	   보통주주당순이익		3,192			2,841	1,553
손익계산서, 기능별 분류 - 별도재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2022-12-31	사업보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	   보통주희석주당순이익		3,192			2,841	1,553
